Year,Birr Avg Max Temp (Deg C),Birr Avg Min Temp (Deg C),Birr Highest Temp (Deg C),Birr Lowest Temp (Deg C),Birr Mean Temp (Deg C)
1959M10,15.9,8.3,23.2,0.3,12.1
1959M11,10.2,3,14.6,-2.6,6.6
1959M12,8.9,2.5,12.5,-3.3,5.7
1960M01,7.6,0.8,13,-5.1,4.2
1960M02,7.3,-0.4,14.5,-6.6,3.5
1960M03,10.2,3.9,17.3,-2.6,7.1
1960M04,13.6,4.1,18.6,-3.1,8.9
1960M05,17,7.4,19.3,1.7,12.2
1960M06,19.6,10.2,25,3.4,14.9
1960M07,17.8,10.8,20.4,6.2,14.3
1960M08,18.5,9.7,22,3.6,14.1
1960M09,16.3,8.3,20.9,3,12.3
1960M10,12.9,5.7,17.3,-1.1,9.3
1960M11,9.9,3.3,14.3,-5.4,6.6
1960M12,6.6,0.4,11.2,-4.9,3.5
1961M01,7.5,0.8,12.1,-4.5,4.2
1961M02,10.6,5.3,14.3,-1.1,8
1961M03,12.3,5.3,17.9,-1.9,8.8
1961M04,13.6,5.8,17.6,0.1,9.7
1961M05,15.6,6,21.7,-0.9,10.8
1961M06,17.1,8.7,20.9,3.3,12.9
1961M07,17.5,10.4,19.9,6.2,14
1961M08,18.2,10.1,22.7,5.2,14.2
1961M09,17.4,8.9,24.5,3.3,13.2
1961M10,13.2,6,17.8,-1.2,9.6
1961M11,9.4,3.4,15.1,-3.3,6.4
1961M12,6.8,0,13.9,-9.4,3.4
1962M01,7.9,1.7,11.5,-8.2,4.8
1962M02,8.4,2.6,11.6,-1.6,5.5
1962M03,8,0.1,11.9,-7.2,4.1
1962M04,12.7,3.3,18.7,-0.7,8
1962M05,14.5,5.5,18.4,0.8,10
1962M06,17.3,7.4,23.3,-0.2,12.4
1962M07,18.4,10.4,22.8,5.1,14.4
1962M08,17.6,9.5,22.7,4,13.6
1962M09,15.4,7.6,18.8,0.7,11.5
1962M10,14,6.2,17.2,-0.8,10.1
1962M11,8.7,3,12.8,-3.1,5.9
1962M12,7.4,1.9,12.7,-7.3,4.7
1963M01,2.1,-3,6.7,-11.6,-0.4
1963M02,5.5,-0.8,9.4,-8.7,2.4
1963M03,10.5,3.2,14.6,-3.2,6.9
1963M04,11.7,4.5,17.3,-3.2,8.1
1963M05,13.9,5.7,22.2,1.2,9.8
1963M06,18.1,9.4,25.7,6.3,13.8
1963M07,18.2,10.2,24.4,5.1,14.2
1963M08,17,10.4,22.4,6.4,13.7
1963M09,16.2,8,21.8,2.7,12.1
1963M10,14.4,7.9,17.3,3,11.2
1963M11,10.7,3.5,14.3,-3.7,7.1
1963M12,6.7,1,11.7,-9.1,3.9
1964M01,8.4,3.4,11.6,-3.7,5.9
1964M02,8.4,2.6,13.6,-5.2,5.5
1964M03,9.3,2.5,13.1,-4.3,5.9
1964M04,12.1,4.3,16.3,-2.7,8.2
1964M05,16.2,7.8,22.1,3.8,12
1964M06,16.6,9.2,22.4,3.9,12.9
1964M07,18.4,11.3,22.1,5.2,14.9
1964M08,18.7,10.2,23.7,1.2,14.5
1964M09,17.6,9.6,21.7,2.8,13.6
1964M10,12.9,5.6,17.8,-1.4,9.3
1964M11,10.9,4.2,14.2,-6.7,7.6
1964M12,7.7,1.4,12.9,-3.3,4.6
1965M01,6.4,0.5,11.6,-5.8,3.5
1965M02,6.3,0.4,10.1,-5.1,3.4
1965M03,10.1,2.5,19.7,-10.5,6.3
1965M04,12.2,4.4,15.4,-0.4,8.3
1965M05,15,7.1,21.4,-0.2,11.1
1965M06,17.7,9.3,22.6,4.6,13.5
1965M07,17.2,9.7,22.2,3.9,13.5
1965M08,17.7,10.4,21.8,2.4,14.1
1965M09,14.6,7.8,20.1,1,11.2
1965M10,14.7,7.5,17.8,-0.1,11.1
1965M11,8,1,13.9,-6.7,4.5
1965M12,8,2,13.2,-6.1,5
1966M01,6.7,2.3,12.2,-5.4,4.5
1966M02,9.1,4.2,12.8,0.1,6.7
1966M03,10.7,3.7,13.5,-3.4,7.2
1966M04,10.7,4.4,18.2,-3.3,7.6
1966M05,15.1,6.3,22.9,1.8,10.7
1966M06,17.8,10.3,22.5,5.7,14.1
1966M07,18.4,10.3,25.2,3.9,14.4
1966M08,18.3,10,20.8,3.9,14.2
1966M09,17.9,9.3,20.8,2.7,13.6
1966M10,12.4,4.6,16.7,-1.6,8.5
1966M11,8.2,1.3,11.1,-6.9,4.8
1966M12,9.2,3,12,-1.6,6.1
1967M01,7.6,2.5,12.5,-6,5.1
1967M02,8.2,2.2,11.9,-3.4,5.2
1967M03,9.8,3.3,14.8,-2.9,6.6
